,State_x,City_x,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,City_y,State_y,Country,Year Established,Still in Business?,Closed?
76471,Washington,Balance of Island County,53601,57244,53778,58890,53923,59374,53323,59478,53658,60294,54641,61062,55797,62848,56920,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76472,Washington,Jefferson County,29887,57244,29835,58890,29782,59374,29990,59478,30135,60294,30350,61062,30909,62848,31234,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76473,Washington,Port Townsend city,9119,57244,9104,58890,9090,59374,9153,59478,9202,60294,9270,61062,9422,62848,9551,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76474,Washington,Balance of Jefferson County,20768,57244,20731,58890,20692,59374,20837,59478,20933,60294,21080,61062,21487,62848,21683,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76475,Washington,King County,1937378,57244,1972205,58890,2009295,59374,2047039,59478,2081249,60294,2117696,61062,2155962,62848,2188649,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76476,Washington,Algona city,3036,57244,3068,58890,3111,59374,3133,59478,3155,60294,3169,61062,3192,62848,3185,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76477,Washington,Auburn city (pt.),62999,57244,63944,58890,65064,59374,66012,59478,66893,60294,67787,61062,68796,62848,71159,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76478,Washington,Beaux Arts Village town,300,57244,303,58890,307,59374,317,59478,321,60294,322,61062,324,62848,326,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76479,Washington,Bellevue city,128294,57244,130160,58890,132086,59374,133814,59478,136179,60294,139352,61062,141249,62848,144444,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76480,Washington,Black Diamond city,4163,57244,4214,58890,4280,59374,4325,59478,4361,60294,4400,61062,4426,62848,4436,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76481,Washington,Bothell city (pt.),23500,57244,23969,58890,24402,59374,25384,59478,26346,60294,26827,61062,27070,62848,27677,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
