Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Tombstone Brewing Company,Tombstone,Arizona,UNITED STATES,2016,Y,N
Wooly Pig,Fresno,Ohio,UNITED STATES,2017,Y,N
Athenian Brewery,['null'],['null'],['null'],1963,['null'],['null']
Sunday River Brewing Company,Bethel,Maine,UNITED STATES,1992,Y,N
Pott’s Naturpark-Brauerei GmbH,Oelde,['null'],['null'],1769,['null'],['null']
E.C. Dahls Bryggeri,['null'],['null'],['null'],1856,['null'],['null']
Shiny Brewing,['null'],['null'],['null'],2012,['null'],['null']
Moon River Brewing Company,Savannah,Georgia,UNITED STATES,1999,Y,N
Unity Vibration Living Kombucha Tea,Ypsilanti,Michigan,UNITED STATES,2009,Y,N
Eick Bräu,Groß Glevitz,Mecklenburg-Vorpommern,GERMANY,2007,Y,N
Lost Tavern Brewing,Hellertown,Pennsylvania,UNITED STATES,2014,Y,N
Bath Ales,['null'],['null'],['null'],1995,['null'],['null']
Wet Ticket Brewing,Rahway,New Jersey,UNITED STATES,2016,Y,N
Hingham Beer Works,Hingham,Massachusetts,UNITED STATES,2010,Y,N
SunUp Brewing,Phoenix,Arizona,UNITED STATES,2001,Y,N
Blind Squirrel,Plumtree,North Carolina,UNITED STATES,2012,Y,N
Privat-Brauerei Steffens Vertriebsges. mbH,Linz am Rhein,['null'],['null'],1866,['null'],['null']
DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009,Y,N
Founders Brewing Company,Grand Rapids,Michigan,UNITED STATES,1997,Y,N
Langham Brewery,Lodsworth,['null'],['null'],2005,['null'],['null']
Surinaamse Brouwerij,Paramaribo,['null'],['null'],1955,['null'],['null']
Susquehanna Brewing Company,Pittston,Pennsylvania,UNITED STATES,2010,Y,N
Little Machine Beer,Denver,Colorado,UNITED STATES,2015,Y,N
Soundview Brewing Company,Old Lyme,Connecticut,UNITED STATES,2015,Y,N
The Nordic Brewing Co,Monticello,Minnesota,UNITED STATES,2018,Y,N
Tired Hands Brewing Company,Ardmore,Pennsylvania,UNITED STATES,2011,Y,N
Swamp Head Brewery,Gainesville,Florida,UNITED STATES,2008,Y,N
Wasserburg zu Gommern,Gommern,Sachsen-Anhalt,GERMANY,1992,Y,N
The Ale Apothecary,Bend,Oregon,UNITED STATES,2011,Y,N
