Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Spey Valley Brewery,Mulben,Moray,UNITED KINGDOM,2007,Y,N
Texas Leaguer Brewing,Missouri City,Texas,UNITED STATES,2017,Y,N
3rd Turn Brewing,Louisville,Kentucky,UNITED STATES,2015,Y,N
Figure Eight Brewing,Valparaiso,Indiana,UNITED STATES,2009,Y,N
Hereford & Hops Restaurant and Brewpub,Escanaba,Michigan,UNITED STATES,1994,Y,N
Lafitte Brewing Co,New Orleans,Louisiana,UNITED STATES,2014,Y,N
Mission Springs Brewing Company,Mission,British Columbia,CANADA,1995,Y,N
Oy Sinebrychoff AB,Kerava,['null'],['null'],1819,['null'],['null']
Rubicon Brewing Company,Sacramento,California,UNITED STATES,1987,Y,N
Stoudts Brewing Company,Adamstown,Pennsylvania,UNITED STATES,1987,Y,N
Privatbrauerei Schwerter Meißen,Meißen,Sachsen,GERMANY,1460,Y,N
Luebener-Tenne,Wittingen,['null'],['null'],1995,['null'],['null']
Starrlight Mead,Pittsboro,North Carolina,UNITED STATES,2009,Y,N
White Labs Tasting Room,San Diego,California,UNITED STATES,1995,Y,N
The Manhattan Project Beer Company,Addison,Texas,UNITED STATES,2016,Y,N
Missoula Brewing Company,Missoula,Montana,UNITED STATES,2015,Y,N
Backroads Brewing Company,Nelson,British Colombia,CANADA,2017,Y,N
Florida Beer Company,Cape Canaveral,Florida,UNITED STATES,1997,Y,N
Heretic Brewing Company,Fairfield,California,UNITED STATES,2011,Y,N
Brauhaus Pirna Zum Giesser,Pirna,Sachsen,GERMANY,1998,Y,N
Motorworks Brewing,Bradenton,Florida,UNITED STATES,2014,Y,N
Ingeniero Microbrewery,['null'],['null'],['null'],2012,['null'],['null']
Fall Brewing Company,San Diego,California,UNITED STATES,2014,Y,N
Sandia Chile Grill & Brewery,Albuquerque,New Mexico,UNITED STATES,2012,N,Y
Browar Okocim,Brzesko,['null'],['null'],1845,['null'],['null']
Straight to Ale,Huntsville,Alabama,UNITED STATES,2009,Y,N
Moonlight Pizza & Brewpub,Salida,Colorado,UNITED STATES,1994,Y,N
La Gardenia,Alcover,Tarragona,SPAIN,2006,Y,N
Bissell Brothers,Portland,Maine,UNITED STATES,2013,Y,N
Sandia Chile Grill & Brewery,Albuquerque,New Mexico,UNITED STATES,2012,N,Y
Sebago Brewing Company,Portland,Maine,UNITED STATES,1998,Y,N
Exhibit 'A' Brewing Company,Framingham,Massachusetts,UNITED STATES,2016,Y,N
"Custom Brewcrafters, Inc.",Honeoye Falls,New York,UNITED STATES,1997,Y,N
Brewery Ferment,Traverse City,Michigan,UNITED STATES,2012,Y,N
Claimstake Brewing Company,Rancho Cordova,California,UNITED STATES,2016,Y,N
Clarion River Brewing Company,Clarion,Pennsylvania,UNITED STATES,2015,Y,N
Arbor Brewing Company,Ann Arbor,Michigan,UNITED STATES,1995,Y,N
Kultur- & Kommunikationszentrum Lindenbrauerei e.V.,Unna,Nordrhein-Westfalen,GERMANY,2002,Y,N
Walter Bräu Büderich,Wesel-Büderich,Nordrhein-Westfalen,GERMANY,2007,Y,N
Grateful Hands Brewing,Cabot,Vermont,UNITED STATES,2012,N,Y
Alt-Gießen Gasthausbrauerei,Gießen,Hessen,GERMANY,1991,Y,N
Brite Eyes Brewing Company,Kalamazoo,Michigan,UNITED STATES,2013,Y,N
High Desert Brewing Co.,Las Cruces,New Mexico,UNITED STATES,1997,Y,N
Trail Point Brewing Company,Allendale,Michigan,UNITED STATES,2015,Y,N
