Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
4th Way Brewing Company,Berkeley,California,UNITED STATES,2010,Y,N
Big Buck Brewery and Steakhouse #2,Grand Rapids,Michigan,UNITED STATES,1997,N,Y
Brewmasters Restaurant and Brewery South,Kenosha,Wisconsin,UNITED STATES,1987,N,Y
Koninklijke Grolsch,Enschede,Overijssel,NETHERLANDS,1615,Y,N
Toppling Goliath Brewing Company,Decorah,Iowa,UNITED STATES,2009,Y,N
Storms Gasthof zur alten Brauerei,['null'],['null'],['null'],2004,['null'],['null']
903 Brewers,Sherman,Texas,UNITED STATES,2013,Y,N
Shenanigans Brewing,['null'],['null'],['null'],2014,['null'],['null']
Blue Blaze Brewing,Charlotte,North Carolina,UNITED STATES,2013,Y,N
Double Shift Brewing,Kansas City,Missouri,UNITED STATES,2015,Y,N
Strum Brewing Company,Ontario,California,UNITED STATES,2014,Y,N
Donavon Brewing Company,Arvada,Colorado,UNITED STATES,2017,Y,N
Kalnapilis Brewery,Panevys,['null'],['null'],1902,['null'],['null']
Redhook Ale Brewery,Woodinville,Washington,UNITED STATES,1981,Y,N
Zauber Brewing Company,Columbus,Ohio,UNITED STATES,2010,Y,N
Hausbrauerei Boente,Recklinghausen,Nordrhein-Westfalen,GERMANY,1988,Y,N
Tempest Brewing Co.,Kelso,Scottish Borders,UNITED KINGDOM,2010,Y,N
Beach City Brewery,Huntington Beach,California,UNITED STATES,2014,N,Y
Blue Owl Brewing,Austin,Texas,UNITED STATES,2014,Y,N
Cedar Creek Brew Co.,Martinsville,Indiana,UNITED STATES,2015,Y,N
Obolon Joint Stock Company,Krasyliv,['null'],['null'],1980,['null'],['null']
Sonoma Springs Brewing Co,Sonoma,California,UNITED STATES,2008,Y,N
Volcano Brewing Company,['null'],['null'],['null'],2011,['null'],['null']
Smog City Brewing,Torrance,California,UNITED STATES,2011,Y,N
Cervecería Calavera,Puente de Vigas,Tlalnepantla,MEXICO,2009,Y,N
Boom Island Brewing Company,Minneapolis,Minnesota,UNITED STATES,2011,Y,N
Oliver Brewing Company,Baltimore,Maryland,UNITED STATES,1993,Y,N
Bardic Wells Meadery,Montague,Michigan,UNITED STATES,2007,Y,N
Coeur d'Alene Brewing Company,Coeur D'Alene,Idaho,UNITED STATES,1987,N,Y
GoodLife Brewing,Bend,Oregon,UNITED STATES,2010,Y,N
Birra Toccalmatto,43036 Fidenza,Province of Parma,ITALY,2008,Y,N
Pacific Plate Brewing Company,Monrovia,California,UNITED STATES,2012,Y,N
Kings Brewing Company,Rancho Cucamonga,California,UNITED STATES,2016,Y,N
Aigean Ales,Manchester,New Hampshire,UNITED STATES,2017,Y,N
Rough Draft Brewing Company,San Diego,California,UNITED STATES,2011,Y,N
Brew Age,1060 Wien,['null'],['null'],2007,['null'],['null']
Dragon's Tale Brewery,Montclair,California,UNITED STATES,2016,Y,N
Rock Bridge Brewing Company,Columbia,Missouri,UNITED STATES,2012,Y,Y
Bog Water Brewing Co.,Westport,Washington,UNITED STATES,2012,N,Y
Big Muddy Brewing Co,Murphysboro,Illinois,UNITED STATES,2009,Y,N
Calicraft Brewing Co.,Walnut Creek,California,UNITED STATES,2012,Y,N
