Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
La Voie Maltée,Chicoutimi,Quebec,CANADA,2002,Y,N
Jackson Hole Brewing Comapny,Jackson,Wyoming,UNITED STATES,2012,Y,N
Climate City Brewing Co.,Grants Pass,Oregon,UNITED STATES,2015,Y,N
Brewtus Brewing Company,Sharon,Pennsylvania,UNITED STATES,2010,Y,N
Illuminati Brewing Company,Bellingham,Washington,UNITED STATES,2015,Y,N
Bryggeri Helsinki,Helsinki,['null'],['null'],2013,['null'],['null']
BAR,New Haven,Connecticut,UNITED STATES,1991,Y,N
Lily's Seafood Grill & Brewery,Royal Oak,Michigan,UNITED STATES,1999,Y,N
Schlossbrauerei Au-Hallertau,Au in der Hallertau,['null'],['null'],1590,['null'],['null']
Privatbrauerei Gebr. Mayer,Ludwigshafen-Oggersheim,['null'],['null'],1846,['null'],['null']
Dukbone Brewing Co.,Charlotte,North Carolina,UNITED STATES,2012,Y,N
Gillette Brewing Company,Gillette,Wyoming,UNITED STATES,2012,Y,N
"2 Witches Winery and Brewing Company, Inc.",Danville,Virginia,UNITED STATES,2012,Y,N
Koskipanimo / Plevna Brewery Pub & Restaurant,Tampere,['null'],['null'],1994,['null'],['null']
Breugem,1544 BM,Zaandijk,NETHERLANDS,2014,Y,N
Rusty Rail Brewing Company,Mifflinburg,Pennsylvania,UNITED STATES,2013,Y,N
Naughty Monk Brewery,Bradenton,Florida,UNITED STATES,2013,Y,N
Little Chute Brewing Company,Little Chute,Wisconsin,UNITED STATES,2015,Y,N
Bakunin,['null'],['null'],['null'],2013,['null'],['null']
Bar Harbor Brewing Company,Bar Harbor,Maine,UNITED STATES,1990,Y,N
Capital Brewery,Middleton,Wisconsin,UNITED STATES,1984,Y,N
Diamond Knot Brewery & Alehouse,Mukilteo,Washington,UNITED STATES,1994,Y,N
Furthermore Beer,Spring Green,Wisconsin,UNITED STATES,2005,Y,N
Terrapin Beer Company,Athens,Georgia,UNITED STATES,2002,Y,N
Brauerei August Helbig,Weilburg,Hesse,GERMANY,1822,Y,N
Bruery Terreux,Placentia,California,UNITED STATES,2015,Y,N
Wop's Hops Brewing Company,Sanford,Florida,UNITED STATES,2014,Y,N
Red Arrow Brewing Company,Duncan,British Columbia,CANADA,2014,Y,N
Big Storm Brewing Co.,Cape Coral,Florida,UNITED STATES,2011,Y,N
Colfax Ale Cellar,Raton,New Mexico,UNITED STATES,2015,Y,N
Baranof Island Brewing Company,Sitka,Alaska,UNITED STATES,2010,Y,N
Diamondback Brewery,Cleveland,Ohio,UNITED STATES,1996,N,Y
Four Saints Brewing Company,Asheboro,North Carolina,UNITED STATES,2015,Y,N
Darmstädter Privatbrauerei GmbH,Darmstadt,Hessen,GERMANY,1847,Y,N
Raquette River Brewing,Tupper Lake,New York,UNITED STATES,2013,Y,N
Taxman Brewing Company,Bargersville,Indiana,UNITED STATES,2014,Y,N
Four Mile Brewing Company,Olean,New York,UNITED STATES,2015,Y,N
Braindead Brewing,Dallas,Texas,UNITED STATES,2015,Y,N
Burgeon Beer Company,Carlsbad,California,UNITED STATES,2017,Y,N
Wolf Creek Brewery,Santa Clarita,California,UNITED STATES,1997,Y,N
Flat Fish Brewing,Camarillo,California,UNITED STATES,2018,Y,N
King's Court Brewing Company,Poughkeepsie,New York,UNITED STATES,2018,Y,N
Dick's Brewing Company,Centralia,Washington,UNITED STATES,1984,Y,N
"TG Enterprises, Inc",Lake Orion,Michigan,UNITED STATES,2008,N,Y
Triple C Brewing Company,Charlotte,North Carolina,UNITED STATES,2011,Y,N
Blue Earl Brewing Co.,Smyrna,Delaware,UNITED STATES,2014,Y,N
Weathered Souls Brewing Co.,San Antonio,Texas,UNITED STATES,2016,Y,N
Dickersbach Brewing Company,Yardley,Pennsylvania,UNITED STATES,1992,Y,N
Howe Sound Brewing Company,Squamish,British Columbia,CANADA,1996,Y,N
The Dayton Beer Company,Kettering,Ohio,UNITED STATES,2010,Y,N
Dry Ground Brewing Co.,Paducah,Kentucky,UNITED STATES,2014,Y,N
Crooked Handle Brewing Co.,Springboro,Ohio,UNITED STATES,2015,Y,N
K2 Brothers Brewing,Rochester,New York,UNITED STATES,2017,Y,N
"Berghoff Brewery, Inc",Mequon,Wisconsin,UNITED STATES,1887,Y,N
Fargo Brewing Company,Fargo,North Dakota,UNITED STATES,2011,Y,N
Dynamo Brewing Company,Griffith,Indiana,UNITED STATES,2013,Y,N
Brazo Fuerte Artisanal Beer,Boston,Massachusetts,UNITED STATES,2011,Y,N
New Mexico Craft Brewing Company,Albuquerque,New Mexico,UNITED STATES,2012,N,Y
Cantero Brewing Company,Albuquerque,New Mexico,UNITED STATES,2018,Y,N
