Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Green's Brewery,Baildon Shipley,West Yorkshire,UNITED KINGDOM,2004,Y,N
Owl's Orchard Brewery,Queen Creek,Arizona,UNITED STATES,2013,N,Y
Microbrasserie de Bellechasse,Buckland,Quebec,CANADA,2013,Y,N
Yachats Brewing,Yachats,Oregon,UNITED STATES,2015,Y,N
MacKinnon Brothers Brewing,Bath,Ontario,CANADA,2014,Y,N
Alexandria's Brewery,Findlay,Ohio,UNITED STATES,2011,Y,N
Altenrüthener Hausbrauerei,Rüthen,Nordrhein-Westfalen,GERMANY,1994,Y,N
Döbbecke,Hanover,['null'],['null'],1877,['null'],['null']
Compass Rose Brewing,Raleigh,North Carolina,UNITED STATES,2015,Y,N
Flying Dreams Brewing Co.,Worcester,Massachusetts,UNITED STATES,2015,Y,N
Mile Wide Beer Company,Louisville,Kentucky,UNITED STATES,2016,Y,N
Black Diamond Brewing Company,Concord,California,UNITED STATES,2005,Y,N
Against The Grain Brewery,Louisville,Kentucky,UNITED STATES,2012,Y,N
Privatbrauerei Eichbaum,Mannheim,Baden-Württemberg,GERMANY,1679,Y,N
Freewheel Brewing Company,Redwood City,California,UNITED STATES,2013,Y,N
Ormond Brewing Company,Ormond Beach,Florida,UNITED STATES,2013,Y,N
Catskill Brewery LLC,Livingston Manor,New York,UNITED STATES,2014,Y,N
Sanctuary Brewing Co.,Indianapolis,Indiana,UNITED STATES,2015,N,Y
Montavilla Brew Works,Portland,Oregon,UNITED STATES,2015,Y,N
Country Boy Brewing,Lexington,Kentucky,UNITED STATES,2011,Y,N
De Steeg Brewing,Denver,Colorado,UNITED STATES,2013,Y,N
Tomoka Brewery,Ormond Beach,Florida,UNITED STATES,2015,Y,N
St. George Brewing Company,Hampton,Virginia,UNITED STATES,1991,Y,N
Redemption Brewing Company,London,London,UNITED KINGDOM,2010,Y,N
McFate Brewing Company,Scottsdale,Arizona,UNITED STATES,2012,Y,N
Sterling Beer Company,Louisville,Kentucky,UNITED STATES,1863,Y,N
Turoni's Pizzery & Brewery,Evansville,Indiana,UNITED STATES,1963,Y,N
Radbrauerei Gebr. Bucher,['null'],['null'],['null'],1590,['null'],['null']
Brasserie des Vignes,['null'],['null'],['null'],2004,['null'],['null']
LTS Brewing Company,Rochester,Minnesota,UNITED STATES,2013,Y,N
Olde Saratoga Brewing Company,Saratoga Springs,New York,UNITED STATES,1997,N,Y
Baisinger Löwenbrauerei Teufel,Rottenburg am Neckar,Baden-Württemberg,GERMANY,1775,Y,N
Brouwerij De Leite,Ruddervoorde,['null'],['null'],2008,['null'],['null']
Mickey Finn's Brewery,Libertyville,Illinois,UNITED STATES,1994,Y,N
Crow Brewing Company,San Diego,California,UNITED STATES,2013,Y,N
Man Cave Brewing Company,Syracuse,Indiana,UNITED STATES,2014,Y,N
Tustin Brewing Company,Tustin,California,UNITED STATES,1996,Y,N
New Trail Brewing Co,Williamsport,Pennsylvania,UNITED STATES,2017,Y,N
