Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Townsite Brewing,Powell River,British Columbia,CANADA,2010,Y,N
Ashtown Brewing Company,Longview,Washington,UNITED STATES,2010,Y,N
Three Troupers Brewery,Officer,Victoria,AUSTRALIA,2000,Y,N
Lenton Lane Brewery,['null'],['null'],['null'],2014,['null'],['null']
Coronado Brewing Company,Imperial Beach,California,UNITED STATES,1996,Y,N
Parkersburg Brewing Co.,Parkersburg,West Virginia,UNITED STATES,2015,Y,N
First Private Brewery,['null'],['null'],['null'],2004,['null'],['null']
Kronenbrauerei Söflingen,Ulm,Baden-Württemberg,GERMANY,1887,Y,N
Yo-Ho Brewing Company,Saku city,Nagano,JAPAN,1996,Y,N
Saltwater Brewery,Delray Beach,Florida,UNITED STATES,2013,Y,N
Arizona Wilderness Brewing Company,Gilbert,Arizona,UNITED STATES,2013,Y,N
Tanglewood Branch Beer Co.,Fayetteville,Arkansas,UNITED STATES,2011,N,Y
Canterbury Aleworks,Canterbury,New Hampshire,UNITED STATES,2012,Y,N
Mu Brewery,Aurora,Colorado,UNITED STATES,2014,N,Y
BrewDog,London,England,UNITED KINGDOM,2006,Y,N
Kettle River Brewing Co.,Kelowna,British Columbia,CANADA,2016,Y,N
Blackrocks Brewery,Marquette,Michigan,UNITED STATES,2010,Y,N
Fish Brewing Company,Olympia,Washington,UNITED STATES,1993,Y,N
Shanty Irish Brewing Company,Orcutt,California,UNITED STATES,2010,Y,N
Hemelinger,['null'],['null'],['null'],1878,['null'],['null']
Lost Winds Brewing Company,San Clemente,California,UNITED STATES,2016,Y,N
Orf Brewing,Austin,Texas,UNITED STATES,2017,Y,N
Brauwerk Braun & Röth,Bad Kreuznach,Rheinland-Pfalz,GERMANY,2010,Y,N
Yorkshire Heart,Nun Monkton,York,UNITED KINGDOM,2011,Y,N
Lao Brewery Company,['null'],['null'],['null'],1973,['null'],['null']
Barrel Harbor Brewing,Vista,California,UNITED STATES,2012,Y,N
New Sarum Brewing,Salisbury,North Carolina,UNITED STATES,2012,Y,N
Devil's Purse Brewing Company,South Dennis,Massachusetts,UNITED STATES,2013,Y,N
Wayfarers' Ale Society,Port Williams,Nova Scotia,CANADA,2012,Y,N
Brouwerij Rodenbach,Roeselare,West-Vlaanderen,BELGIUM,1821,Y,N
Heater Allen Brewing,McMinnville,Oregon,UNITED STATES,2007,Y,N
Rhinegeist,Cincinnati,Ohio,UNITED STATES,2013,Y,N
Biercamp,Ann Arbor,Michigan,UNITED STATES,2011,Y,N
Revelation Craft Brewing Company,Rehoboth Beach,Delaware,UNITED STATES,2016,Y,N
Blackwater Brewing Company,Davis,West Virginia,UNITED STATES,1998,Y,N
Pocock Brewing Company,Santa Clarita,California,UNITED STATES,2013,Y,N
Anaheim Brewery,Anaheim,California,UNITED STATES,1870,Y,N
Hausbrauerei Mellert,Steinach,['null'],['null'],1886,['null'],['null']
Kilted Dragon,Garden City,Idaho,UNITED STATES,2011,N,Y
Steam Theory Brewing Company,Dallas,Texas,UNITED STATES,2018,Y,N
Zagrebaèka Pivovara,Zagreb,['null'],['null'],1892,['null'],['null']
Ornery Beer Company,Woodbridge,Virginia,UNITED STATES,2015,N,Y
