Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Braugasthof Papiermühle,Jena,Thüringen,GERMANY,1996,Y,N
Frankfurter Brauhaus,Frankfurt an der Oder,Brandenburg,GERMANY,1988,Y,N
Black Dragon Brewery,Woodland,California,UNITED STATES,2012,N,Y
Karben4 Brewing,Madison,Wisconsin,UNITED STATES,2012,Y,N
Midnight Brewery,Rockville,Virginia,UNITED STATES,2011,Y,N
Funky Bow Brewery and Beer Company,Lyman,Maine,UNITED STATES,2013,Y,N
Griess Family Brews,Grants Pass,Oregon,UNITED STATES,2013,Y,N
St. Brigid's Brewery,Moses Lake,Washington,UNITED STATES,2011,Y,N
Mad Fritz,St. Helena,California,UNITED STATES,2014,Y,N
Salt Springs Brewery,Saline,Michigan,UNITED STATES,2015,Y,N
Bruz Beers,Denver,Colorado,UNITED STATES,2016,Y,N
Wedgewood Brewing Co.,Middlebury,Indiana,UNITED STATES,2016,Y,N
Heritage Brewing,Yarmouth,Nova Scotia,CANADA,2017,Y,N
CIB Brewery,Carson,Iowa,UNITED STATES,2011,Y,N
Electric Brewing Co,Bisbee,Arizona,UNITED STATES,1988,Y,Y
Great Lakes Brewing Company,Cleveland,Ohio,UNITED STATES,1988,Y,N
Jester King Craft Brewery,Austin,Texas,UNITED STATES,2010,Y,N
Throwback Brewery,North Hampton,New Hampshire,UNITED STATES,2011,Y,N
Schlüsselbräu Privatbrauerei Bosch,Giengen an der Brenz,Nordrhein-Westfalen,GERMANY,1705,Y,N
Brauerei Ganter,Freiburg,Baden-Württemberg,GERMANY,1865,Y,N
Brävery Brewing,Lancaster,California,UNITED STATES,2011,Y,N
Dangerous Man Brewing Company,Minneapolis,Minnesota,UNITED STATES,2012,Y,N
Off Color Brewing,Chicago,Illinois,UNITED STATES,2008,Y,N
Steel Bender Brewyard,Albuquerque,New Mexico,UNITED STATES,2017,Y,N
Alternation Brewing Company,Denver,Colorado,UNITED STATES,2017,Y,N
Element Brewing Company‎,Millers Falls,Massachusetts,UNITED STATES,2005,Y,N
Great Northern Brewing Company,Whitefish,Montana,UNITED STATES,1994,Y,N
Sleeman Breweries Ltd.,Guelph,Ontario,CANADA,1851,Y,N
Wynkoop Brewing Company,Denver,Colorado,UNITED STATES,1988,Y,N
Eisgrub-Bräu,Mainz,Rheinland-Pfalz,GERMANY,1989,Y,N
Paradox Beer Company,Divide,Colorado,UNITED STATES,2012,Y,N
Evolution Craft Brewing Company,Salisbury,Maryland,UNITED STATES,2009,Y,N
Penrose Brewing Company,Geneva,Illinois,UNITED STATES,2013,Y,N
Fall River Brewing Company,Redding,California,UNITED STATES,2012,Y,N
"Hijos De Rivera, S.A.",['null'],['null'],['null'],1906,['null'],['null']
Stony Lake Brewing Company,Saline,Michigan,UNITED STATES,2014,Y,N
Red Cypress Brewery,Winter Springs,Florida,UNITED STATES,2015,Y,N
Immersion Brewing,Bend,Oregon,UNITED STATES,2016,Y,N
2 Feet Brewing Company,Bangor,Maine,UNITED STATES,2016,Y,N
Kirner Privatbrauerei,Kirn,Rheinland-Pfalz,GERMANY,1798,Y,N
Kokopelli Beer Company,Westminster,Colorado,UNITED STATES,2012,Y,N
Elk Valley Brewing Co.,Oklahoma City,Oklahoma,UNITED STATES,2013,Y,N
ColdFire Brewing,Eugene,Oregon,UNITED STATES,2015,Y,N
Lincoln Brewing Co.,Raleigh,North Carolina,UNITED STATES,2015,Y,N
Fifth Ward Brewing Company,Oshkosh,Wisconsin,UNITED STATES,2017,Y,N
Circle V Brewing,Indianapolis,Indiana,UNITED STATES,1996,N,Y
Sleepy Dog Brewery,Tempe,Arizona,UNITED STATES,2009,Y,N
Thunderhead Brewing Company,Kearney,Nebraska,UNITED STATES,1999,Y,N
Bent Brewstillery,Roseville,Minnesota,UNITED STATES,2007,Y,N
South Park Brewing Company,San Diego,California,UNITED STATES,2014,Y,N
The Celt Experience,['null'],['null'],['null'],2007,['null'],['null']
Fair Winds Brewing Company,Lorton,Virginia,UNITED STATES,2015,Y,N
Spice Trade Brewing,Westminster,Colorado,UNITED STATES,2008,Y,N
Wentzler Bräu,Contwig,Rheinland-Pfalz,GERMANY,2007,N,Y
"Vander Mill Winery, Cider Mill & Microbrewery",Spring Lake,Michigan,UNITED STATES,2006,Y,N
Seven Stills Brewery and Distillery,San Francisco,California,UNITED STATES,2012,Y,N
Christian Moerlein Brewing Company,Cincinnati,Ohio,UNITED STATES,1853,Y,N
Vault Brewing Company,Yardley,Pennsylvania,UNITED STATES,2012,Y,N
Unruly Brewery,Muskegon,Michigan,UNITED STATES,2013,Y,N
