Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Schlossbrauerei Fürstlich Drehna der Germania Brauerei,Luckau,Brandenburg,GERMANY,1745,Y,N
Hausbrauerei Laubegast,Dresden,Saxony,GERMANY,2008,Y,N
Declaration Brewing Company,Denver,Colorado,UNITED STATES,2014,Y,N
Escape Craft Brewery,Redlands,California,UNITED STATES,2014,Y,N
Bloom Brew,Newton,Pennsylvania,UNITED STATES,2013,Y,N
Woodland Farm Hop & Fermentation,Marcy,New York,UNITED STATES,2013,Y,N
Ship Inn Brewpub,Milford,New Jersey,UNITED STATES,1995,Y,N
The Mermaid Tavern & Grille at The Great Deep Brewing Co.,Hagåtña,Guam,GUAM,2001,Y,N
Einsiedler Brauhaus,Chemnitz-Einsiedel,Saxony,GERMANY,1885,Y,N
Prost Brewing Company,Denver,Colorado,UNITED STATES,2011,Y,N
Pair O’ Dice Brewing,Clearwater,Florida,UNITED STATES,2013,Y,N
Kaweah Brewing Co.,Tulare,California,UNITED STATES,2013,Y,N
Jackson Street Brewing,Sioux City,Iowa,UNITED STATES,2015,Y,N
Indian Springs Brewing Company,Neosho,Missouri,UNITED STATES,2014,Y,N
Intergalactic Brewing Co,San Diego,California,UNITED STATES,2012,Y,N
Hallesches Brauhaus Kühler Brunnen,Halle (Saale),Sachsen-Anhalt,GERMANY,2005,Y,N
Bainbridge Island Brewing Company,Bainbridge Island,Washington,UNITED STATES,2012,Y,N
Kauai Island Brewery & Grill,Port Allen,Hawaii,UNITED STATES,2012,Y,N
Jungle Beer,Singapore,['null'],['null'],2011,['null'],['null']
Brewery 85,Greenville,South Carolina,UNITED STATES,2013,Y,N
Sean Patrick's Irish Pub and Texas Grub,San Marcos,Texas,UNITED STATES,2005,Y,N
Lumpy Ridge Brewery,Estes Park,Colorado,UNITED STATES,2015,Y,N
Central Waters Brewing Company,Amherst,Wisconsin,UNITED STATES,1998,Y,N
Golden Avalanche Brewing Company,Kutztown,Pennsylvania,UNITED STATES,1999,Y,N
Shipyard Brewing Company,Portland,Maine,UNITED STATES,1994,Y,N
Wild Heaven Beer,Avondale Estates,Georgia,UNITED STATES,2010,Y,N
Adlerbrauerei Göggingen,Bad Schussenried,['null'],['null'],1349,['null'],['null']
Jagged Mountain Brewery,Denver,Colorado,UNITED STATES,2013,Y,N
Garage Brewing Co.,Temecula,California,UNITED STATES,2013,Y,N
The Bold Mariner Brewing Company,Norfolk,Virginia,UNITED STATES,2015,Y,N
Brasseries Kronenbourg,Strasbourg,['null'],['null'],1664,['null'],['null']
Golden City Brewery,Golden,Colorado,UNITED STATES,1993,Y,N
New Republic Brewing Company,College Station,Texas,UNITED STATES,2010,Y,N
Grosswald Brauerei-Bauer,Heusweiler-Eiweiler,Saarland,GERMANY,1860,Y,N
Lost Highway Brewing Company,Centennial,Colorado,UNITED STATES,2014,N,Y
3 Beards Beer Company,Holyoke,Massachusetts,UNITED STATES,2010,Y,N
Dugges Ale- & Porterbryggeri AB,['null'],['null'],['null'],2005,['null'],['null']
St. Joseph Brewery & Public House,Indianapolis,Indiana,UNITED STATES,2015,Y,N
Civil Society Brewing,Jupiter,Florida,UNITED STATES,2015,Y,N
Lo-Fi Brewing,N. Charleston,South Carolina,UNITED STATES,2016,Y,N
STATS Brewpub,Atlanta,Georgia,UNITED STATES,2017,Y,N
Brau Brothers Brewing Company,Marshall,Minnesota,UNITED STATES,2006,Y,N
Guldenbacher Brauhaus Nahetal,Windesheim,Rhineland-Palatinate,GERMANY,2003,Y,N
One Eyed Buffalo Brewing Co,Thermopolis,Wyoming,UNITED STATES,2015,Y,N
Dunedin Brewery,Dunedin,Florida,UNITED STATES,1995,Y,N
Stapleton Brewing,Denver,Colorado,UNITED STATES,2011,N,Y
Kauai Beer Company,Lihue,Hawaii,UNITED STATES,2013,Y,N
Petoskey Brewing,Petoskey,Michigan,UNITED STATES,2012,Y,N
Berthound Brewing Co.,Berthoud,Colorado,UNITED STATES,2014,Y,N
Raices Brewing Co.,Boulder,Colorado,UNITED STATES,2016,N,Y
