Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Nasu Kohgen,Nasumachi,Tochigo-ken Nasu-gun,JAPAN,1996,Y,N
Natchez Brewing Company,Natchez,Mississippi,UNITED STATES,2014,Y,N
BJ's Restaurant and Brewery,Sacramento,California,UNITED STATES,1978,Y,N
Naukabout Beer Co.,Mashpee,Massachusetts,UNITED STATES,2006,Y,N
Nebraska Brewing Company,La Vista,Nebraska,UNITED STATES,2007,Y,N
Neighborhood Beer Co.,Exeter,New Hampshire,UNITED STATES,2015,N,Y
Triumph Brewing Company,New Hope,Pennsylvania,UNITED STATES,1995,Y,N
Anheuser-Busch InBev,Newark,New Jersey,UNITED STATES,1852,Y,N
BrewDog,['null'],['null'],['null'],2006,['null'],['null']
Newport Craft Brewing Co.,Newport,Rhode Island,UNITED STATES,1999,Y,N
Next Door Brewing Company,Madison,Wisconsin,UNITED STATES,2013,Y,N
Nine Barnyard Owls,['null'],['null'],['null'],2012,['null'],['null']
Tractor Brewing Company,Albuquerque,New Mexico,UNITED STATES,1999,Y,N
Hermiston Brewing Company,Hermiston,Oregon,UNITED STATES,2013,Y,N
DESTIHL Brewery,Normal,Illinois,UNITED STATES,2013,Y,N
BJ's Restaurant and Brewery,Norman,Oklahoma,UNITED STATES,1978,Y,N
North Center Brewing Company,Northville,Michigan,UNITED STATES,2014,Y,N
North Channel Brewing,Manistee,Michigan,UNITED STATES,2017,Y,N
Sea Dog Brewing Company,North Conway,New Hampshire,UNITED STATES,1993,Y,N
Dry Dock Brewing Company,Aurora,Colorado,UNITED STATES,2005,Y,N
Sequoia Brewing Company,Fresno,California,UNITED STATES,2003,Y,N
North High Brewing,Columbus,Ohio,UNITED STATES,2011,Y,N
North High Brewing,Columbus,Ohio,UNITED STATES,2011,Y,N
Modern Times Beer,San Diego,California,UNITED STATES,2012,Y,N
North Rim Brewing,Bend,Oregon,UNITED STATES,2013,Y,Y
Northern Neck Brewing Compny,Reedville,Virginia,UNITED STATES,2018,Y,Y
Northern Oak Brewery,Holly,Michigan,UNITED STATES,2015,Y,N
Northern Row Brewery,Cincinnati,Ohio,UNITED STATES,2018,Y,N
North Peak Brewing Company,Dexter,Michigan,UNITED STATES,2009,Y,N
Jolly Pumpkin Artisan Ales,Dexter,Michigan,UNITED STATES,2004,Y,N
Northport Brewing Company,Northport,Michigan,UNITED STATES,2014,Y,N
Les 3 Brasseurs,Nouméa,Province Sud,NEW CALEDONIA,1986,Y,N
Les 3 Brasseurs,Noyelles Godault,['null'],['null'],1986,['null'],['null']
Numbers Brewing Company,Lisbon,Ohio,UNITED STATES,2013,Y,N
Heroes and Villians,Middle Swan,Western Australia,AUSTRALIA,2018,Y,N
Lompoc Brewing,Portland,Oregon,UNITED STATES,1996,Y,N
Oast House Brewery,Aberystwyth,Ceredigion,UNITED KINGDOM,2012,Y,N
Obed and Isaac's,Peoria,Illinois,UNITED STATES,2011,Y,N
Ober Brewing Company,Salem,Virginia,UNITED STATES,2017,Y,N
Pizza Port Brewing Company,Ocean Beach,California,UNITED STATES,1987,Y,N
Kauzen Bräu,Ochsenfurt,['null'],['null'],1809,['null'],['null']
Twin Peaks Brewing Co.,Odessa,Texas,UNITED STATES,2013,Y,N
Odonata Beer Company,Sacramento,California,UNITED STATES,2013,Y,N
10 Barrel Brewing Company,Bend,Oregon,UNITED STATES,2006,Y,N
New Buffalo Brewing Company,Akron,New York,UNITED STATES,2012,Y,N
Two Birds Brewing,Yarraville,Victoria,AUSTRALIA,2011,Y,N
Ola Brew Co.,Kailua-Kona,Hawaii,UNITED STATES,2017,Y,N
Triumph Brewing Company,Philadelphia,Pennsylvania,UNITED STATES,1995,Y,Y
Old Majestic Brewing Co.,Mobile,Alabama,UNITED STATES,2019,Y,N
Six Row Brewing Company,St. Louis,Missouri,UNITED STATES,2009,N,Y
Old Soul Brewing,Fort Myers,Florida,UNITED STATES,2014,Y,N
Old Town Brewing,Portland,Oregon,UNITED STATES,2011,Y,N
Olde Salem Brewing Company,Salem,Virginia,UNITED STATES,2017,Y,N
McMenamins Breweries,Centralia,Washington,UNITED STATES,1983,Y,N
Rock Bottom Restaurant & Brewery,Omaha,Nebraska,UNITED STATES,1998,Y,Y
OpenRoad Brewery,Wayland,Michigan,UNITED STATES,2016,Y,N
Optimism,Seattle,Washington,UNITED STATES,2015,Y,N
Backstreet Brewery,Orange,California,UNITED STATES,1976,Y,N
Original Sin,New York,New York,UNITED STATES,1997,Y,N
Oskar Blues Brewery,Austin,Texas,UNITED STATES,1997,Y,N
Otley Brewing Company,Pontypridd,Glamorgan,UNITED KINGDOM,2005,Y,N
OUTLAW Brewery,Lake Havasu City,Arizona,UNITED STATES,2010,N,Y
Panacea Meadery,Sioux Falls,South Dakota,UNITED STATES,2016,Y,N
Brewmaster Jack,Holyoke,Massachusetts,UNITED STATES,2011,Y,N
Paradox Brewery,Schroon Lake,New York,UNITED STATES,2013,Y,N
Squatters Craft Beers,Park City,Utah,UNITED STATES,1989,Y,N
Partizan Brewing,London,London,UNITED KINGDOM,2012,Y,N
Pateros Creek Brewing Company,Fort Collins,Colorado,UNITED STATES,2010,Y,N
Paulaner,New York,New York,UNITED STATES,1634,Y,N
Free Will Brewing Company,Lahaska,Pennsylvania,UNITED STATES,2011,Y,N
Pegasus City,Dallas,Texas,UNITED STATES,2017,Y,N
Pelican Brewing Company,Cannon Beach,Oregon,UNITED STATES,1996,Y,N
Peoria Artisan Brewery,Peoria,Arizona,UNITED STATES,2013,Y,N
Percival Beer Company,Norwood,Massachusetts,UNITED STATES,2010,Y,N
Perfect Plain Brewing Co.,Pensacola,Florida,UNITED STATES,2017,Y,N
Periodic Brewing,Northglenn,Colorado,UNITED STATES,2015,Y,N
Sly Fox Brewing Company,Phoenixville,Pennsylvania,UNITED STATES,1995,Y,N
Rock Bottom Restaurant & Brewery,Homestead,Pennsylvania,UNITED STATES,1998,Y,N
Pivovarna Laško,Laško,['null'],['null'],1825,['null'],['null']
Pizza Port Brewing Company,Carlsbad,California,UNITED STATES,1987,Y,N
BJ's Restaurant and Brewery,Plano,Texas,UNITED STATES,1978,Y,N
Cervecería Cien Mascaras,Teotihuacan,Estado de Mexico,MEXICO,2016,Y,N
Pöide Pruuli Koda,Kuressaare,Saare maakond,ESTONIA,2013,Y,N
Pontus Brewing,1066 GR Amsterdam,Netherlands,NETHERLANDS,2012,Y,N
Ponysaurus Brewing,Durham,North Carolina,UNITED STATES,2013,Y,N
Oxbow Brewing Company,Portland,Maine,UNITED STATES,2011,Y,N
Poseidon Brewing Company,Ventura,California,UNITED STATES,2013,Y,N
Yuengling Brewery,Pottsville,Pennsylvania,UNITED STATES,1829,Y,N
Powder Keg Brewing,Niwot,Colorado,UNITED STATES,2014,N,Y
Nimble Hill Brewing Company,Mehoopany,Pennsylvania,UNITED STATES,2012,Y,N
Boston Beer Company,Breinigsville,Pennsylvania,UNITED STATES,1984,Y,N
High Heel Brewing,Jacksonville,Florida,UNITED STATES,2016,Y,N
Pub Dog Pizza & Drafthouse,Westminster,Maryland,UNITED STATES,2001,Y,N
Empire Brewing Company,Cazenovia,New York,UNITED STATES,1994,Y,N
Belching Beaver Brewery,Vista,California,UNITED STATES,2012,Y,N
Pühaste Brewery,['null'],['null'],['null'],2016,['null'],['null']
Railroad City Brewing Company,Altoona,Pennsylvania,UNITED STATES,2013,Y,N
Bricktown Brewery,Oklahoma City,Oklahoma,UNITED STATES,1992,Y,N
River's Edge Brewing Co.,Milford,Michigan,UNITED STATES,2014,Y,N
Public House Brewing Company,Rolla,Missouri,UNITED STATES,2010,Y,N
Squatters Craft Beers,Salt Lake City,Utah,UNITED STATES,1989,Y,N
Marble Brewery,Santa Fe,New Mexico,UNITED STATES,2008,Y,Y
East End Brewing Company,Pittsburgh,Pennsylvania,UNITED STATES,2005,Y,N
Falling Sky,Eugene,Oregon,UNITED STATES,2012,Y,N
SLO Brew,San Luis Obispo,California,UNITED STATES,1988,Y,N
Sufferfest Beer Company,San Francisco,California,UNITED STATES,2016,Y,N
