Brewery Name,City,State,Country,Year Established,Still in Business?,Closed?
Borgfelder Landhaus,['null'],['null'],['null'],1993,['null'],['null']
Sophie’s Brauhaus,Stuttgart,['null'],['null'],1993,['null'],['null']
Hosanna Brewing Company,Fuquay-Varina,North Carolina,UNITED STATES,2012,N,Y
River Rat Brewery,Columbia,South Carolina,UNITED STATES,2013,Y,N
Innovation Brewing,Sylva,North Carolina,UNITED STATES,2013,Y,N
Blowing Rock Brewery,Blowing Rock,North Carolina,UNITED STATES,2012,Y,N
Boston Beer Company,Boston,Massachusetts,UNITED STATES,1984,Y,N
C.B. & Potts,Cheyenne,Wyoming,UNITED STATES,1971,Y,Y
Holy Brew Brewing Company,Leesburg,Virginia,UNITED STATES,2008,Y,N
Pensacola Bay Brewery,Pensacola,Florida,UNITED STATES,2010,Y,N
Santa Barbara Brewing,Santa Barbara,California,UNITED STATES,1995,Y,N
Privatbrauerei Strate,Detmold,Nordrhein-Westfalen,GERMANY,1863,Y,N
Spezialitätenbrauerei Eckart,Colbitz,['null'],['null'],2006,['null'],['null']
Chino Valley Brewery,Ontario,California,UNITED STATES,2012,Y,N
Purity Brewing Co,Great Alne,Warwickshire,UNITED KINGDOM,2005,Y,N
D9 Brewing Company,Cornelius,North Carolina,UNITED STATES,2013,Y,N
Eutropius,['null'],['null'],['null'],2011,['null'],['null']
Absolution Brewing Company,Torrance,California,UNITED STATES,2013,Y,N
St. Nicholas Brewing Co.,Du Quoin,Illinois,UNITED STATES,2014,Y,N
Yee-Haw Brewing Company,Pigeon Forge,Tennessee,UNITED STATES,2015,Y,N
Backcountry Brewery,Frisco,Colorado,UNITED STATES,1996,N,Y
Wagner Valley Brewing Company,Lodi,New York,UNITED STATES,1997,Y,N
Glückauf-Brauerei,Gersdorf,Sachsen,GERMANY,1880,Y,N
Big Elm Brewing Company,Sheffield,Massachusetts,UNITED STATES,2012,Y,N
Fonta Flora Brewery,Morganton,North Carolina,UNITED STATES,2013,Y,N
Happy Valley Brewing Company,State College,Pennsylvania,UNITED STATES,2013,Y,N
Railtown Brewing Company,Dutton,Michigan,UNITED STATES,2014,Y,N
Four Leaf Brewing,Clare,Michigan,UNITED STATES,2015,Y,N
Just Beer Brewing Co.,Westport,Massachusetts,UNITED STATES,1997,Y,N
Infinity Brewing,South Burlington,Vermont,UNITED STATES,2014,Y,N
Homer Brewing Company,Homer,Alaska,UNITED STATES,1996,Y,N
Mount St Helena Brewing Co,Middletown,California,UNITED STATES,1996,Y,N
Santa Fe Brewing Company,Santa Fe,New Mexico,UNITED STATES,1988,Y,N
Spice Trade Brewing,Arvada,Colorado,UNITED STATES,2008,Y,N
Pete's Brewing,San Antonio,Texas,UNITED STATES,1986,N,Y
Sound To Summit Brewing,Snohomish,Washington,UNITED STATES,2014,Y,N
Hood Canal Brewery,Kingston,Washington,UNITED STATES,1996,Y,N
"Brauerei und Wirtschaft ""Im Füchschen"" Peter König e.K.",Düsseldorf,Nordrhein-Westfalen,GERMANY,1848,Y,N
Strange Land Brewery,Austin,Texas,UNITED STATES,2014,Y,N
Peter B's Brewpub,Monterey,California,UNITED STATES,1996,Y,N
Whitewall Brewing Company,Marysville,Washington,UNITED STATES,2014,Y,N
Hövels Hausbrauerei GmbH,Dortmund,Nordrhein-Westfalen,GERMANY,1854,Y,N
Bathtub Row Brewing Co-Op,Los Alamos,New Mexico,UNITED STATES,2015,Y,N
Prairie Sun Brewery,Saskatoon,Saskatchewan,CANADA,2013,Y,N
